Work item ID,Issue Type,Summary,Parent,Priority,Status,Labels,Description
1,Epic,Engine,,Highest,In Progress,area:engine tier:free,"The sequential-step runner, action dispatch, recorder, and KDL serde that wflow is built on. UI-agnostic; the same crate fronts the editor today and would back a wflow-engine daemon over D-Bus tomorrow. Architectural invariant: every action kind goes through one enum and adding a kind is ten lockstep edits, no exceptions."
2,Epic,Editor,,Highest,In Progress,area:editor tier:free,"The Qt 6 / QML editor on top of the engine. Canvas, inspector, library, palette, recorder UI, tutorial, hot-reload, debugger. cxx-qt bridges Rust types into QML via JSON-string properties. KDL on disk is authoritative; the editor reads, edits, and writes back through the same decoder."
3,Epic,Daemon,,Highest,In Progress,area:daemon tier:free,"wflow daemon binds workflow chords as global hotkeys. Three backends: GlobalShortcuts portal (KDE 6, GNOME 46+), Hyprland IPC, Sway IPC. Triggers declared inside each workflow's KDL. Single-instance via pidfile, hot-reload via notify, per-fire dispatch as wflow run subprocess."
4,Epic,Catalog & Explore,,High,In Progress,area:catalog tier:free,"wflows.io integration: featured + browse + detail fetch, deeplink import (wflow://import?source=...), the Explore tab in the editor, publish flow, sign-in + favorites. v0 catalog API is live; drawer and publish flows have partial coverage. Gates v1.0 alongside the deeplink confirm dialog."
5,Epic,CLI & tooling,,High,In Progress,area:cli tier:free,"wflow command-line: run, list, daemon, recorder probes, scheme handler, plus packaging (AUR, Flatpak, GitHub release flow). The CLI is the engine without Qt; same crate, no UI. AUR pkgver derives from release tag; Flatpak ID switches the auth callback path."
6,Epic,Brand & design,,High,In Progress,area:brand tier:free,"Two skins (Warm Paper / Cool Slate), full light + dark coverage on both, first-run picker, switcher in Settings. Theme.qml is the canonical token registry; every color resolves through the four-arg _pl helper. Hanken Grotesk body, Geist Mono technical values. Calm, confident, contemporary, recedes behind the task."
7,Epic,Commercial,,High,To Do,area:commercial tier:plus,"wflow Pro is the income engine of the wflow leg of Drift's commercial stack. Run-history telemetry, cloud sync, the favorites tab, auto-update notifier, sign-in + accounts. All gated on the v1.0 free release landing first. Pairs with Drift Identity (auth + billing foundation) for the signup path."
8,Epic,Drift integration,,High,To Do,area:drift tier:free,"Wflow built into the Drift OS as a bundled tool. Drift Launcher indexes workflows alongside apps; drift.kdl carries a workflows block; Drift settings app has a workflows tab; Drift compositor IPC events become wflow trigger types; wflow Pro signup flows through Drift Identity. The piece that lets the OS ship with workflows already feeling native."
9,Task,Actions,1,High,In Progress,area:engine tier:free,"One Action enum, one dispatch site, one editor delegate per kind. Adding a new variant touches the enum, the runner match arm, the KDL encoder, the KDL decoder, the QML editor card, and the icon table in lockstep. Where new wflow capabilities land."
10,Task,Engine runner & flow control,1,High,In Progress,area:engine tier:free,"Sequential top-to-bottom execution with recursive async dispatch for repeat / when / unless. StepOutcome per step (ok / skipped / error + message). Debug mode pauses before each step; trust prompt gates first-run; sandbox-runs for tests."
11,Task,KDL serialization,1,Highest,In Progress,area:engine tier:free,"Hand-written KDL encoder + decoder split across src/kdl_format/. encode_fragment and decode_fragment_str handle bare step lists for the clipboard / Explore drawer / wflows.io detail. Workflow-level decode handles imports, triggers, vars, groups."
12,Task,Recorder,1,Medium,To Do,area:engine tier:free,"Simulated today; the libei receiver is the production target. Probe-then-capture flow: ask the compositor (portal first, falling back to compositor IPC) what input it'll surface; capture window focus + chords + clicks + scrolls; emit a workflow draft."
13,Task,Trust & sandbox,1,Medium,In Progress,area:engine tier:free,"First-run trust prompt before a workflow with shell or wdotool actions executes. Sandbox-tests pattern for engine tests so a runner doesn't fire keystrokes / clicks during a test. Trust state stored alongside the workflow."
14,Task,Canvas,2,High,In Progress,area:editor tier:free,"Free-positioning node editor. Absolute (x, y) positions per step id; wires auto-route between consecutive steps; group rectangles for visual grouping; marquee selection; drag-to-rewire; pan / zoom / organize. Big surface, big QML file."
15,Task,Inspector & step palette,2,High,In Progress,area:editor tier:free,"Right-side step inspector slides in on select. Step palette docks on the left; click-and-drag plops a new card on the canvas. Inspector edits round-trip through the workflow JSON the bridge synthesizes."
16,Task,Library & folders,2,High,In Progress,area:editor tier:free,"Grid + list views of the user's workflows, folder tree, drag-and-drop reorganize, search, rename, delete. Folder structure persists in workflow metadata. The first screen the user sees."
17,Task,Tutorial & first-run,2,Medium,In Progress,area:editor tier:free,"Onboarding overlay walks a new user through the canvas, palette, run, and recorder. Splash-style palette picker on first boot. Same surface the OS-integration first-boot starter-workflow flow plugs into eventually."
18,Task,Hot-reload & debug,2,Medium,In Progress,area:editor tier:free,"GUI hot-reload: a workflow edited on disk (CLI / external editor / wflow daemon) refreshes in the GUI without a relaunch. Debug mode pauses the engine before each step with step-next / continue / stop controls."
19,Task,KDL clipboard,2,High,In Progress,area:editor tier:free,"Copy and paste workflow steps as KDL fragments through the system clipboard, drag-and-drop a .kdl onto the canvas to import. Same decode_fragment_str path the wflows.io detail and the daemon use, so a snippet round-trips between chat, README, file manager, and canvas."
20,Task,Portal backend,3,High,In Progress,area:daemon tier:free,"GlobalShortcuts portal: probed first, batch-binds chords at startup, per-fire dispatches as wflow run --yes. Bind-shortcuts is once-per-session by spec, so portal users restart the daemon to pick up trigger changes. Documented limitation."
21,Task,Hyprland backend,3,High,In Progress,area:daemon tier:free,"Hyprland IPC at $XDG_RUNTIME_DIR/hypr/$HIS/.socket.sock. keyword bind = MODS, KEY, exec, wflow run <id> --yes. Hot-reload watches the workflow directory and diffs by chord. Drift's compositor follows the same protocol so this is also the Drift Integration path until compositor IPC events land."
22,Task,Sway backend,3,High,In Progress,area:daemon tier:free,"$SWAYSOCK with i3 protocol RUN_COMMAND. bindsym MODS+KEY exec wflow run <id> --yes. Same hot-reload shape as Hyprland."
23,Task,Hot-reload & file watcher,3,High,In Progress,area:daemon tier:free,"notify watches ~/.config/wflow/workflows/. On disk change, daemon re-reads, diffs by chord, unbinds and re-binds the deltas. Scoped to compositor-IPC mode by the portal's once-per-session bind constraint."
24,Task,Triggers tab (GUI),3,Medium,To Do,area:daemon tier:free,"Editor gets a Triggers tab listing active bindings, add / edit / remove, that pokes the daemon's Reload(). Edits write triggers into the workflow's KDL and trust the file watcher to do the rest; the file is the source of truth, not the GUI."
25,Task,Featured & browse fetch,4,High,In Progress,area:catalog tier:free,"v0 API: featured list, browse paginated, per-row preview metadata. Caching for back-and-forth navigation, offline indicator on fetch failure, WFLOW_SITE_ORIGIN env for staging."
26,Task,Detail drawer,4,High,In Progress,area:catalog tier:free,"Right-side drawer for a community workflow. kdlSource parsed through the runner's decoder; counts and timestamps from the live row; catalog-trail values during the loading window before detail lands; hasShell warning banner for safety."
27,Task,Deeplink import,4,High,To Do,area:catalog tier:free,"wflow://import?source=... installs on layout. Same-origin fence (wflows.io only). Confirm dialog with title, author, description, step count, source pill before write-to-disk is the gate before re-enabling Explore."
28,Task,Publish flow,4,Medium,To Do,area:catalog tier:plus,"POST /api/v0/workflows from the editor: description, readme, tags, visibility (public / draft). 401 fires auth_expired. Pairs with sign-in and favorites; pro-tier visibility comes later."
29,Task,Authentication & favorites,4,Medium,To Do,area:catalog tier:plus,"Better Auth on wflows.io is browser-oriented, so the desktop wants a one-time sign-in-via-browser-paste-token-back handoff. Favorites tab populates from the user's account. Same path enables publishing and comments."
30,Task,Auto-update notifier,4,Low,To Do,area:catalog tier:free,"workflow_versions + remixedFromId are already in the wflows.io schema. When an installed workflow gets a new version, ping the user with a toast and let them apply or dismiss. Low cost, high stickiness."
31,Task,Subcommands,5,High,In Progress,area:cli tier:free,"wflow run, list, daemon, recorder probes, install (deeplink target), version. The CLI is the engine plus argv; no Qt. wflow run path/to/file.kdl direct entry is queued."
32,Task,Packaging,5,High,In Progress,area:cli tier:free,"AUR (pkgver derives from release tag), Flatpak (FLATPAK_ID detection for the auth callback path), GitHub release flow, signed releases. Side-by-side compatible with system wdotool installs."
33,Task,Scheme handler,5,High,In Progress,area:cli tier:free,"wflow:// scheme registration so wflows.io install links open in wflow. Cross-distro: .desktop file with x-scheme-handler/wflow MIME on Linux."
34,Task,xdg-mime + .kdl association,5,Medium,To Do,area:cli tier:free,".kdl files in a file manager open in wflow. Pairs with the drop-on-canvas import that just landed: same flow, two entry points."
35,Task,Palette system,6,Highest,Done,area:brand tier:free,"Warm Paper (default, mirrors wflows.io) + Cool Slate (original brief), both with full light + dark coverage. First-run splash picker, Settings switcher, persisted in state.toml. Theme.qml _pl(coolDark, coolLight, warmDark, warmLight) is how every token resolves. Shipped in v0.5.0."
36,Task,Tokens & design system,6,High,In Progress,area:brand tier:free,"radiusXs / Sm / Md / Lg / Xl / Pill ladder; surface step-ladder by lightness; type scale 11 / 13 / 14 / 16 / 20 / 28; cat-tints per palette; accentWash helper for selection state. Don't hand-roll a color, read Theme.qml."
37,Task,Motion & accessibility,6,Medium,In Progress,area:brand tier:free,"160ms StackView transitions, 180ms row expand / collapse, REC armed pulse 1.1s, reduceMotion zeros all durations. AA contrast minimum on every text/surface pair, full keyboard nav, 2px focus ring with 2px offset."
38,Task,wflow Pro tier,7,High,To Do,area:commercial tier:plus,"Income engine of the wflow leg. Cloud sync, run-history dashboard, premium catalog visibility, private workflows. Apple shape: free wflow stays the editor + daemon; Pro is the cross-machine + telemetry layer."
39,Task,Run-history telemetry,7,High,To Do,area:commercial tier:plus,"Daemon-side recorder posts run outcomes (workflow id, step count, ms, ok / error) to /api/v1/runs. Dashboard on wflows.io. Opt-in at install, clear delete-my-history path."
40,Task,Cloud sync,7,High,To Do,area:commercial tier:plus,"Workflows + folder structure sync to the account; second machine signs in, pulls the same library. Schema's private visibility is the wedge. Last-write-wins for v1, nightly backup, per-step diff deferred."
41,Task,Launcher integration,8,Highest,To Do,area:drift tier:free,"Drift Launcher (DRIFT-78) indexes wflow workflows alongside apps. Type ship-prep, hit enter, run. Single biggest UX win for the OS-integration thread: workflows feel like apps instead of a separate place to go."
42,Task,IPC triggers,8,Highest,To Do,area:drift tier:free,"Drift compositor IPC events (window-opened, workspace-switched, app-focused, idle-threshold) become wflow trigger types. The DRIFT-6 CLI epic already names a band of IPC primitives for this. ""When Slack opens, run focus-mode"" becomes one trigger card."
43,Task,drift.kdl workflows block,8,High,To Do,area:drift tier:free,"Unified Drift config's workflows { } block declares auto-imports. Apply hydrates them into the library. Schema-aware so the Drift settings GUI can edit it. Pairs with wflow Pro cloud sync for cross-machine propagation."
44,Task,Settings app tab,8,High,To Do,area:drift tier:free,"Drift Settings GUI gets a Workflows tab that mirrors the library view; edit and run inline; same files, same backend. No separate ""open wflow"" friction for users who don't think of it as its own app yet."
45,Task,First-boot starter workflows,8,High,To Do,area:drift tier:free,"Installer's first-boot wizard offers to install 3-4 curated starter workflows (ship-prep, dev-setup, focus-mode, screenshot-annotate) in one click. The polish that says ""this distro thought about you."""
46,Task,Bundling in the ISO,8,High,To Do,area:drift tier:free,"Drift ISO ships with wflow and wdotool pre-installed; daemon enabled per-user on first login; scheme handler registered. No extra install step to get to a working state."
47,Subtask,Decoupled fragment string parser,11,High,Done,area:engine tier:free effort:S status:shipped,"decode_fragment_str split out of decode_fragment_file so a kdl snippet parses without inventing a file path. Round-trip + parse-error tests cover the new entrypoint. Shipped at d3b60d6."
48,Subtask,Copy / paste steps as kdl,19,Highest,Done,area:editor tier:free effort:M status:shipped,"Right-click a card for Copy as KDL / Paste KDL; ctrl+c / ctrl+v on the canvas; arboard with wayland-data-control. Editor-only step ids stripped on copy so snippets don't carry per-workflow positions. Shipped at ab9eef9."
49,Subtask,Drop a .kdl on the canvas,19,High,Done,area:editor tier:free effort:S status:shipped,"DropArea over the canvas accepts external file drops, decodes file:// + percent-encoding QML-side, hands a plain path to steps_from_kdl_path. Coral hover wash matches the existing selection language. Shipped at fc95591."
50,Subtask,Explore drawer trail preview,26,Medium,Done,area:catalog tier:free effort:S status:shipped,"_resolvedSteps gains a middle branch: detail.steps wins, then wf.trail's catalog values, then synthetic _kindSamples. Banner narrows to the all-synthetic path. Shipped at 103d1b1."
51,Subtask,ship-prep example,19,Low,Done,area:editor tier:free effort:S status:shipped,"Curated example: git status + diff-stat, mid-merge warn, drops ""Closes #"" on the clipboard, focuses Firefox. Showcases note, shell, when file=, clipboard, focus. Shipped at 5fae7ee."
52,Task,Daemon v0.4 trigger surface,3,Highest,Done,area:daemon tier:free effort:L status:shipped,"wflow daemon as a subcommand. Triggers declared inside each workflow's KDL. Single instance via pidfile, hot-reload via notify. Portal + Hyprland + Sway backends, dispatch as wflow run --yes. Shipped per BACKLOG.md. Treated as a milestone marker under the Daemon epic."
53,Subtask,View-source toggle on the canvas,14,High,To Do,area:editor tier:free effort:M status:idea,"Read-only KDL pane that mirrors the live workflow. Where kdl stops being just the export format and becomes co-equal with the canvas. Read-only first sidesteps the GUI/source drift question; editable is a separate ticket."
54,Subtask,wflow run /path/to/file.kdl,31,Medium,To Do,area:cli tier:free effort:S status:idea,Direct CLI entry that runs a .kdl file without going through the library. Pairs with the xdg-mime association so a .kdl in a file manager opens in wflow.
